#,Team,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,SPD,BABIP,UBR,wGDP,wSB,wRC,wRAA,wOBA,wRC+
1,TBR,1079,8.40%,21.80%,0.39,0.279,0.349,0.522,0.872,0.243,5.4,0.312,2.8,2,-1.5,179,49.1,0.374,148
2,CHC,1011,9.20%,21.60%,0.43,0.276,0.348,0.448,0.796,0.172,5.1,0.326,0.9,-0.4,-0.7,147,25,0.349,118
3,PIT,1082,10.20%,20.30%,0.5,0.267,0.346,0.456,0.802,0.19,6.4,0.309,0.3,-0.3,2.1,157,26.1,0.349,116
4,ATL,1020,10.00%,24.90%,0.4,0.255,0.335,0.448,0.783,0.193,4.9,0.309,4.5,-2.1,0.9,143,19.9,0.342,111
5,PHI,1058,6.90%,24.30%,0.28,0.276,0.33,0.448,0.778,0.172,4.9,0.344,-2.5,-0.5,-0.3,145,17.1,0.338,109
6,TEX,1031,9.10%,22.80%,0.4,0.257,0.335,0.432,0.767,0.175,4.9,0.307,-1.2,0.4,-1.6,139,15,0.336,116
7,BOS,1082,9.00%,20.10%,0.45,0.257,0.331,0.431,0.763,0.174,4.4,0.296,2.4,-0.2,-0.1,144,13.3,0.334,108
8,SFG,1013,8.90%,27.40%,0.32,0.244,0.324,0.433,0.757,0.189,4.2,0.304,-0.7,0.5,0.4,134,11.4,0.332,108
9,LAA,1076,9.00%,21.80%,0.41,0.255,0.334,0.421,0.754,0.166,4.1,0.298,0.5,0,-1.5,142,12,0.332,111
10,BAL,1026,10.30%,21.10%,0.49,0.256,0.335,0.421,0.757,0.165,5.4,0.299,0.9,-0.2,1.8,135,11.3,0.332,113
11,STL,1078,9.50%,21.20%,0.45,0.261,0.336,0.417,0.753,0.156,4,0.311,-1.8,-1.3,-0.3,141,10.5,0.331,109
12,LAD,1056,11.60%,25.60%,0.45,0.223,0.317,0.435,0.752,0.211,4.9,0.259,1,0.6,-0.6,136,8.2,0.328,105
13,TOR,1030,9.10%,20.90%,0.44,0.255,0.331,0.406,0.737,0.15,4.2,0.301,0.8,2.2,-1,130,5.8,0.325,109
14,ARI,1036,6.20%,20.40%,0.3,0.267,0.317,0.423,0.74,0.157,6,0.316,-1.1,-1.8,1.2,129,3.9,0.323,99
15,MIL,1013,10.00%,25.20%,0.4,0.245,0.324,0.398,0.722,0.153,4.2,0.303,0,-0.4,0.1,123,0.3,0.319,97
16,NYM,1024,10.60%,20.20%,0.53,0.24,0.332,0.384,0.715,0.143,4.7,0.281,0.1,1.3,1.4,124,0.4,0.319,104
17,MIN,1042,8.20%,25.00%,0.33,0.237,0.31,0.415,0.724,0.178,3.5,0.287,-0.4,-0.2,-2.4,125,-0.8,0.318,104
18,SDP,1044,10.70%,23.70%,0.45,0.224,0.312,0.395,0.707,0.171,4,0.267,1.4,-0.4,-0.2,120,-5.7,0.312,97
19,CIN,1015,9.90%,24.30%,0.4,0.245,0.328,0.362,0.69,0.117,5,0.316,2.6,1.5,-1.7,115,-7.4,0.309,85
20,HOU,1034,8.60%,21.80%,0.4,0.244,0.318,0.375,0.694,0.132,4.4,0.293,0.5,1,0.5,116,-8.6,0.308,97
21,MIA,1017,7.20%,25.00%,0.29,0.248,0.309,0.382,0.691,0.134,4.7,0.314,-4.3,-2.2,2.2,111,-11.4,0.304,91
22,OAK,1064,8.90%,24.50%,0.36,0.227,0.309,0.372,0.681,0.145,4.9,0.279,-3.9,-0.5,1.9,115,-13.6,0.303,98
23,NYY,1008,8.60%,24.30%,0.36,0.226,0.299,0.382,0.681,0.156,4.7,0.269,1.1,-0.5,-0.4,107,-15,0.3,91
24,CLE,1041,9.90%,19.50%,0.51,0.236,0.316,0.36,0.676,0.123,5.4,0.282,1.3,0.4,2.3,109,-17,0.298,89
25,COL,1040,7.20%,24.60%,0.29,0.243,0.303,0.368,0.671,0.125,2.9,0.308,-1.6,-0.9,-1.4,107,-18.4,0.297,69
26,WSN,991,7.80%,18.60%,0.42,0.246,0.315,0.344,0.659,0.098,4.3,0.293,0.1,-0.3,-1.2,102,-17.9,0.296,81
27,SEA,1008,8.30%,26.60%,0.31,0.22,0.295,0.368,0.663,0.149,4.4,0.279,0.3,1.1,-0.5,102,-19.9,0.294,91
28,CHW,1045,6.80%,23.30%,0.29,0.227,0.288,0.367,0.655,0.141,4.3,0.277,-1.4,0.6,1.2,101,-24.9,0.289,82
29,DET,985,8.30%,26.30%,0.32,0.222,0.29,0.337,0.627,0.115,3.6,0.29,-1.9,-0.7,-1.5,87,-31.5,0.279,77
30,KCR,1018,6.60%,25.20%,0.26,0.218,0.277,0.344,0.621,0.126,5.3,0.277,-0.9,0.8,0.8,86,-36.5,0.274,69