Team,Hits,Walks,Total Bases,Stolen Bases,At Bats,Caught Stealing,Earned Runs,Home Runs Allowed,Strikeouts,Errors,Double Plays
TBR,9.72,3.24,18.24,0.86,34.55,0.31,3.07,0.66,8.55,0.38,0.83
CHC,9.57,3.50,15.64,0.93,34.68,0.36,3.50,0.86,8.29,0.46,0.82
PIT,8.83,3.90,15.03,1.41,33.48,0.31,3.52,0.79,7.90,0.59,0.69
ATL,8.48,3.76,15.07,0.69,33.55,0.10,3.52,0.83,9.31,0.59,0.90
PHI,9.40,2.63,15.33,0.60,34.67,0.17,4.50,1.07,9.03,0.37,0.53
TEX,8.68,3.64,14.93,0.54,33.64,0.21,3.36,0.75,8.75,0.57,0.89
BOS,8.93,3.50,15.20,0.47,34.20,0.03,4.87,1.37,7.80,0.67,0.83
SFG,8.32,3.32,14.96,0.61,34.57,0.14,4.79,1.46,10.64,0.71,0.89
LAA,8.48,3.45,14.10,0.48,33.69,0.21,3.79,0.97,8.45,0.59,0.76
BAL,8.50,3.89,14.14,1.07,33.18,0.18,4.18,1.07,7.93,0.46,1.04
STL,8.93,3.52,14.17,0.66,34.24,0.17,4.21,1.14,8.07,0.52,0.97
LAD,7.53,4.60,14.60,0.60,32.73,0.13,4.30,1.03,9.60,0.40,0.80
TOR,8.86,3.59,14.03,0.72,34.41,0.24,3.93,1.31,8.03,0.45,0.83
ARI,8.93,2.34,14.24,0.86,33.72,0.17,4.62,1.17,7.52,0.28,0.79
MIL,7.93,3.75,12.89,0.64,32.96,0.14,3.39,1.07,9.46,0.43,0.82
NYM,7.97,4.00,12.93,0.90,32.90,0.10,4.31,1.45,7.83,0.38,0.93
MIN,7.86,3.07,13.72,0.14,33.24,0.10,3.45,0.93,9.48,0.55,0.69
SDP,7.67,3.90,13.30,0.53,32.67,0.13,4.50,1.30,8.97,0.23,0.77
CIN,8.21,3.52,12.10,0.66,33.10,0.31,4.86,1.10,9.34,0.45,0.79
HOU,8.38,3.28,12.76,0.72,33.93,0.14,3.21,1.03,8.24,0.34,0.66
MIA,8.21,2.59,12.55,0.93,32.90,0.14,4.34,1.24,8.90,0.62,0.83
OAK,7.62,3.34,12.52,1.00,33.41,0.21,7.52,1.72,9.34,0.72,0.76
NYY,7.27,3.03,12.10,0.77,32.23,0.27,3.60,1.03,8.47,0.43,0.67
CLE,7.72,3.66,11.66,1.21,33.76,0.24,4.00,0.93,7.48,0.45,0.72
COL,8.45,2.69,12.86,0.21,33.83,0.07,5.07,1.34,8.97,0.76,0.97
WSN,8.54,2.89,11.93,0.50,34.14,0.18,4.50,1.18,6.93,0.68,1.00
SEA,7.32,3.18,12.54,0.71,33.46,0.29,3.64,0.75,9.96,0.39,0.68
CHW,8.10,2.52,13.03,0.62,34.41,0.07,5.76,1.66,8.62,0.52,0.59
DET,7.59,3.15,11.56,0.56,34.22,0.26,4.78,1.48,10.04,0.37,0.78
KCR,7.34,2.41,11.52,0.66,33.38,0.10,5.24,1.41,9.21,0.31,0.76